,sent_type,doc_sent_idx,text
49,b,50,"Different frequencies of K-Ras, N-Ras, and H-Ras mutations in human tumors may also reflect differences in gene expression resulting from differential codon usage; rare codons limit K-Ras expression and thus allow more efficient oncogenesis by preventing oncogene-induced senescence (<ce:cross-ref id=""crosref0120"" refid=""bib35"">Lampson et al., 2013</ce:cross-ref>)."
50,b,51,"In addition, different rates of DNA repair have been reported for the K-Ras gene relative to N-Ras and H-Ras (<ce:cross-ref id=""crosref0125"" refid=""bib18"">Feng et al., 2002</ce:cross-ref>)."
51,b,52,The underlying reasons for different frequencies of specific activating mutations are not well understood either.
52,b,53,"Some of these differences reflect different mutagenic insults to the genome; the G12C mutation, for example, is a hallmark of exposure to tobacco smoke and, accordingly, is the most common mutation in K-Ras in lung cancer (reviewed in <ce:cross-ref id=""crosref0130"" refid=""bib52"">Prior et al., 2012</ce:cross-ref>; <ce:cross-ref id=""crosref0135"" refid=""tbl2"">Table 2</ce:cross-ref><ce:float-anchor refid=""tbl2"" />)."
53,b,54,Other differences in frequency may reflect different biological properties of mutant proteins.
54,b,55,"For example, G12C and G12V K-Ras mutations in lung adenocarcinoma preferentially activate the RalGDS pathway, whereas G12D prefers the Raf/mitogen-activated protein kinase (MAPK) and PI3K pathways (<ce:cross-ref id=""crosref0140"" refid=""bib29"">Ihle et al., 2012</ce:cross-ref>)."
55,b,56,"In addition, mutations at codon 61 have a more profound effect on intrinsic GTPase when these Ras proteins are bound to Raf kinase."
56,b,57,"This may drive a stronger signal through this effector pathway and account for higher frequency of N-Ras position 61 mutations in melanoma, a disease frequently driven by hyperactivation of Raf kinase through B-Raf mutations (<ce:cross-ref id=""crosref0145"" refid=""bib8"">Buhrman et al., 2010</ce:cross-ref>)."
57,b,58,"From a clinical viewpoint, lung adenocarcinomas driven by K-Ras mutations at G12C and G12V have a worse outcome than G12D, possibly because these mutations engage different downstream effectors as described above (<ce:cross-ref id=""crosref0150"" refid=""fig1"">Figure 1</ce:cross-ref>; <ce:cross-ref id=""crosref0155"" refid=""bib29"">Ihle et al., 2012</ce:cross-ref>)."
58,b,59,"As MEK and PI3K inhibitors are tested in the clinic, it will be important to ask whether Ras alleles respond differently to these treatments."
59,b,60,Patients suffering from cancers driven by any of these Ras mutations are excluded from treatment with cetuximab (colorectal cancer) or erlotinib (lung adenocarcinoma) because these treatments are ineffective for cancers with these Ras mutations and may even increase rates of progression.
60,b,61,"Likewise, malignant melanomas with mutant N-Ras are excluded from treatment with vemurafenib."
61,b,62,"However, surprisingly, K-Ras-G13D-bearing colorectal cancers may show clinical benefit when treated with cetuximab."
62,b,63,"This result challenges our understanding of how these Ras mutations actually function in clinical situations (<ce:cross-ref id=""crosref0160"" refid=""bib16"">De Roock et al., 2010</ce:cross-ref>)."
63,b,64,"Even the prototypic oncogenes of Harvey and Kirsten sarcoma viruses are not fully understood; each has a codon 12 mutation, but each also carries a mutation of alanine 59 to threonine, which becomes phosphorylated by guanosine triphosphate (GTP)."
64,b,65,"This must have helped Scolnick and colleagues (<ce:cross-ref id=""crosref0165"" refid=""bib62"">Shih et al., 1979</ce:cross-ref>) identify Ras’ crucial guanosine diphosphate (GDP)/GTP properties; without covalent phosphorylation, association with these nucleotides would have been very hard to detect."
65,b,66,"However, how phosphorylation at threonine 59 contributes to Ras’ potent oncogenicity is unclear."
66,b,67,"This A59T mutation inhibits Ras-Raf interaction (<ce:cross-ref id=""crosref0170"" refid=""bib63"">Shirouzu et al., 1994</ce:cross-ref>) and is extremely rare in human cancer."
67,b,68,"These anecdotes simply remind us that after 50 years, we still have a lot to learn about the biological and biochemical functions of Ras proteins."
68,b,69,"Although K-Ras has emerged as by far the major Ras gene mutated in human cancer, it is surprising that other activating mutations in other members of the Ras superfamily, such as R-Ras or Rap proteins, occur very rarely."
69,b,70,This is surprising because these proteins share identical or near-identical effector-binding regions.
70,b,71,"However, only H-Ras, N-Ras, and K-Ras are capable of binding and activating Raf kinases, and this unique property may well account for their predominance as human oncogenes."
71,b,72,"In contrast, the closely related R-Ras proteins bind and activate PI3Ks but are rarely mutated in human cancer (<ce:cross-ref id=""crosref0175"" refid=""bib56"">Rodriguez-Viciana et al., 2004</ce:cross-ref>)."
72,b,73,"Activating mutations in Ras genes, coupled with a long history of Ras biology, implicate these mutant Ras proteins as major drivers in many cancers."
73,b,74,Loss of the Ras GTPase-activating protein (GAP) neurofibromin inculpates hyperactive wild-type Ras proteins as drivers in many more cancers.
74,b,75,"Somatic loss of neurofibromin expression by mutation, deletion, or by other means occurs in about 14% glioblastoma, 13%–14% melanoma, 8%–10% lung adenocarcinoma, and at single-digit frequency in most other cancers (E.A. Collisson, personal communication)."
75,b,76,"Neurofibromin must now be considered as a major tumor suppressor, along with p53 and phosphatase and tensin homolog, in human cancers."
76,b,77,"Loss of neurofibromin is usually mutually exclusive with Ras mutation and receptor tyrosine kinase (RTK) activation, suggesting that these genetic events represent different ways of activating similar pathways."
77,b,78,"However, the precise consequences of losing neurofibromin are not entirely clear."
78,b,79,"Levels of Ras-GTP are high in cells lacking neurofibromin, but which forms of hyperactive wild-type Ras proteins are most important to the malignant phenotype is a more difficult question."
79,b,80,"Perhaps elevated H-Ras, N-Ras, K-Ras-4A, and K-Ras-4B all contribute to some extent."
80,b,81,"However, neurofibromin is also a GAP for R-Ras proteins, and hyperactivation of these proteins can also contribute to the malignant phenotype because R-Ras proteins activate p110α, p110γ, and p110δ isoforms of PI3Ks (<ce:cross-refs id=""crosrefs0020"" refid=""bib42 bib28"">Marte et al., 1997; Huang et al., 2004</ce:cross-refs>)."
81,b,82,"Recently, Legius and colleagues (<ce:cross-ref id=""crosref0180"" refid=""bib7"">Brems et al., 2007</ce:cross-ref>) discovered mutations in the Sprouty-related protein, SPRED1, in a form of neurofibromatosis type I (NF1) in which the neurofibromin gene is wild-type."
82,b,83,"This disease is now called Legius syndrome (<ce:cross-ref id=""crosref0185"" refid=""bib7"">Brems et al., 2007</ce:cross-ref>)."
83,b,84,"SPRED1 has a well-established pedigree as a negative regulator of the Raf/MAPK pathway, though the mechanism has been unclear."
84,b,85,"However, the fact that loss of neurofibromin is, to a significant extent, phenocopied by loss of SPRED1, supports the idea that NF1 is a disease of hyperactive Ras and that the major function of neurofibromin is to turn Ras off."
85,b,86,"The neurofibromin protein itself is over 2,800 amino acids in length, and the GAP domain only accounts for about 300 amino acids, raising the possibility that neurofibromin has other functions that are not directly related to negative regulation of Ras."
86,b,87,"Most attempts to identify additional functions have failed, however, and it seems most likely that neurofibromin senses an unidentified cellular metabolite and downregulates Ras accordingly, just as p120 Ras-GAP senses phosphotyrosine residues, and downregulates Ras when it binds to these residues on activated receptors in the plasma membrane (reviewed in <ce:cross-ref id=""crosref0190"" refid=""bib6"">Bos et al., 2007</ce:cross-ref>)."
87,b,88,Whatever neurofibromin senses (if this model is correct) is likely to be conserved between <i>S. cerevisiae</i> and humans because the <i>S. cerevisiae</i> IRA1 and IRA2 proteins look very much like neurofibromin.
88,b,89,"Unfortunately, the complete lack of any recognizable domains or motifs outside the GAP domain and a SEC14 domain has not helped in identifying what these proteins recognize."
89,b,90,"By comparing proteins that bind to wild-type SPRED1 versus mutants from Legius syndrome, we found that neurofibromin binds directly to SPRED proteins, via their EVH1 domains, and that SPRED proteins bring neurofibromin to the plasma membrane (<ce:cross-ref id=""crosref0195"" refid=""bib67"">Stowe et al., 2012</ce:cross-ref>)."
90,b,91,"SPRED proteins also bind to c-Kit, and perhaps to other RTKs, suggesting that neurofibromin regulates Ras locally in response to specific receptor signaling, rather than simply suppressing Ras throughout the plasma membrane."
91,b,92,"In this case, loss of neurofibromin may lead to local activation of Ras that is coupled to specific receptors, suggesting that inhibitors of these receptors might reverse the effects of neurofibromin loss."
92,b,93,"The recent Cancer Genome Atlas analysis of mutations in lung cancer revealed an intriguing overlap between neurofibromin loss and Met amplification, suggesting a functional connection that merits further investigation (E.A. Collisson, personal communication)."
93,s,94,Validation of Ras as a Target
94,b,95,Ras oncogenes can certainly initiate cancer in model organisms and probably do so in humans.
95,b,96,"However, their role in maintaining tumors is less clear."
96,b,97,"There is significant evidence that supports K-Ras as a continued candidate for direct therapeutic targeting, dating back to the classic studies of temperature-sensitive mutants of Ras, by Scolnick, Lowy, and colleagues and including microinjection studies with antibodies that block Ras activity (<ce:cross-ref id=""crosref0200"" refid=""bib34"">Kung et al., 1986</ce:cross-ref>) or block specific mutant alleles of Ras (<ce:cross-ref id=""crosref0205"" refid=""bib19"">Feramisco et al., 1985</ce:cross-ref>)."
97,b,98,"Ablation of K-Ras in mouse models of lung adenocarcinoma (<ce:cross-ref id=""crosref0210"" refid=""bib20"">Fisher et al., 2001</ce:cross-ref>) or pancreas cancer (<ce:cross-ref id=""crosref0215"" refid=""bib83"">Ying et al., 2012</ce:cross-ref>) led to dramatic tumor regression, just as ablation of H-Ras leads to tumor regression in mouse models of melanoma (<ce:cross-ref id=""crosref0220"" refid=""bib10"">Chin et al., 1999</ce:cross-ref>)."
98,b,99,"On the other hand, K-Ras knockdown in human cell lines resulted in a spectrum of responses, revealing a range of K-Ras dependencies (<ce:cross-ref id=""crosref0225"" refid=""bib64"">Singh et al., 2009</ce:cross-ref>)."
99,b,100,Assessment of Ras dependency in 3D culture systems suggests that this assay system is a more stringent measure of Ras dependency.
100,b,101,"These studies raise the question of what is the most relevant system to measure this essential parameter and, in general, responses to candidate therapeutics targeting K-Ras."
101,b,102,"Furthermore, the degree to which Ras genes are knocked down may be critical."
102,b,103,Genetic ablation is obviously different than small interfering RNA- or small hairpin RNA (shRNA)-mediated knockdown.
103,b,104,"It is also clear that knocking down activated Ras can lead to hyperactivation of upstream pathways, such as EGFR signaling (<ce:cross-ref id=""crosref0230"" refid=""bib84"">Young et al., 2013</ce:cross-ref>)."
104,b,105,"Presumably, these pathways are suppressed in cells with activated Ras and rebound when the suppressor is removed."
105,b,106,"Although this rebound effect may not be sufficient to sustain a malignant phenotype, it may offset proapoptotic effects associated with oncogene inactivation."
106,s,107,Do K-Ras Therapies Have to Be Allele Specific?
107,b,108,The most specific way to block oncogenic Ras would be to target the activating substitution itself.
108,b,109,"The first example was recently published by Shokat and colleagues, who identified electrophilic compounds that react covalently with cysteine-12 in G12C mutant K-Ras (<ce:cross-ref id=""crosref0235"" refid=""bib49"">Ostrem et al., 2013</ce:cross-ref>)."
109,b,110,"These compounds interact selectively with the GDP form of K-Ras-G12C protein (<ce:cross-ref id=""crosref0240"" refid=""fig2"">Figure 2</ce:cross-ref><ce:float-anchor refid=""fig2"" />) and bind at a pocket near switch 2 that had not been apparent from analysis of crystal structures."
110,b,111,"A similar approach led to the identification of a GDP analog that covalently and specifically binds G12C and renders this oncogenic protein inactive (<ce:cross-ref id=""crosref0245"" refid=""bib38"">Lim et al., 2014</ce:cross-ref>)."
111,b,112,Perhaps other compounds could be identified that interact specifically with the G12D and G13D mutant forms using similar strategies.
112,b,113,These brilliant experiments remind us that these proteins are in dynamic and flexible states that might present more opportunities for small molecule attack than was previously realized.
113,b,114,"Indeed, it is well established that Ras-GTP exists in two states, only one of which is active and each with distinct binding properties for effectors, GAPs, and nucleotide (<ce:cross-refs id=""crosrefs0025"" refid=""bib21 bib36"">Geyer et al., 1996; Liao et al., 2008</ce:cross-refs>)."
114,b,115,"The idea of targeting the GDP-bound form of an oncogenic mutant seems counterintuitive because we often think of oncogenic mutants as being locked in their GTP-bound states, signaling persistently downstream."
115,b,116,"However, codon 12 mutants retain measurable intrinsic GTPase activity, even though they are all refractory to GAP-mediated GTPase stimulation."
116,b,117,"Although GTP hydrolysis rates are slow, the GDP off rates are also slow, and indeed, oncogenic mutants often exist with similar levels of GTP and GDP: if intrinsic GTPase and GDP off rates were identical, Ras proteins would be 50% GTP bound and 50% GDP bound."
117,b,118,This presents an opportunity for targeting the GDP-bound state and trapping it in the off state and so preventing recharging with GTP.
118,b,119,"As an alternative to targeting specific Ras mutants, such as G12C, compounds could be developed that target individual Ras isoforms but do not discriminate between wild-type and mutant Ras proteins."
119,b,120,"This could be achieved by targeting specific hypervariable regions at the C terminus where the Ras proteins differ most widely (<ce:cross-ref id=""crosref0250"" refid=""fig3"">Figure 3</ce:cross-ref><ce:float-anchor refid=""fig3"" />)."
120,b,121,"The C-terminal hypervariable region of K-Ras-4B is very different from the hypervariable regions of other Ras proteins and is involved in the specific interaction of K-Ras-4B with calmodulin (<ce:cross-ref id=""crosref0255"" refid=""bib40"">Lopez-Alcalá et al., 2008</ce:cross-ref>)."
121,b,122,"Because K-Ras-4B seems to be the major form of K-Ras in established tumors, these specific biochemical properties may afford unique opportunities for therapeutic attack."
122,b,123,"Mouse models suggest that such compounds would be well tolerated because animals lacking any single isoform of Ras are viable (A. Balmain, personal communication)."
123,s,124,Targeting GDP/GTP Binding and Exchange
124,b,125,Ras proteins bind GDP and GTP with picomolar affinity.
125,b,126,It is generally accepted that oncogenic Ras proteins cannot be attacked with nucleotide analogs because high GTP concentrations make competition impossible.
126,b,127,"The high affinity for GTP is also considered a barrier, though it is easy to imagine that analogs could be developed with equally high affinity."
127,b,128,This approach to targeting Ras has therefore been abandoned.
128,b,129,"However, Ras proteins in their GTP state exist in complexes with effectors (Raf kinases, RalGDS, PI3K, other Ras-binding proteins), as well as regulators (GAPs and guanine nucleotide exchange factors [GEFs])."
129,b,130,The effects of most of these proteins on nucleotide binding have not been measured.
130,b,131,"GEFs, of course, greatly reduce the affinity for nucleotides, allowing GDP to be released rapidly and replaced by GTP."
131,b,132,"Although oncogenic mutants do not need GEFs to put them in the active state, they are still sensitive to GEF-mediated exchange and cycle through a complex state in which nucleotide-free Ras protein is bound to the GEF; this may provide a potential opportunity for a mutant-specific nucleotide analog to bind."
132,b,133,"In support of this, we noted many years ago that antibodies directed against specific codon 12 mutants were effective at reversing transformation in cells, as cited above, yet these antibodies do not bind to nucleotide-loaded Ras (<ce:cross-ref id=""crosref0260"" refid=""bib11"">Clark et al., 1985</ce:cross-ref>)."
133,b,134,We therefore speculate that oncogenic Ras exists in a nucleotide-free state frequently enough to make it vulnerable to attack.
134,b,135,"Whether oncogenic Ras proteins are regulated at all by Sos and other GEFs has been surprisingly difficult to determine definitively, partly because there are many types of GEFs in mammalian cells."
135,b,136,"Furthermore, GEFs such as Sos have allosteric sites for Ras binding as well as sites for GDP/GTP exchange, and it is hard to measure GTP loading on individual Ras isoforms in cells."
136,b,137,"However, it is clear that mutant Ras proteins are not 100% GTP bound, and GEFs could increase the fraction of Ras-GTP to some extent."
137,b,138,"However, targeting Sos or other GEFs for treating mutant Ras cancers does not appear an attractive proposition."
138,b,139,"Oncogenic mutants may or may not depend on GEFs, to some degree, but wild-type Ras proteins most certainly do."
139,b,140,"For these reasons, recent efforts to target mutant Ras that led to compounds that bind at the Sos-binding site may seem disappointing (<ce:cross-refs id=""crosrefs0030"" refid=""bib44 bib68"">Maurer et al., 2012; Sun et al., 2012</ce:cross-refs>)."
140,b,141,"However, the compounds that these groups discovered could be excellent starting points toward the discovery of compounds that have selectivity for mutant forms of K-Ras or block effector interactions."
141,s,142,Restoring GTP Hydrolysis
142,b,143,"Mutations at codons 12, 13, and 61 inhibit GAP-mediated GTP hydrolysis."
143,b,144,"As a result, mutant Ras proteins accumulate with elevated GTP-bound proportion."
144,b,145,"Trahey and McCormick discovered GAP while seeking to explain how relatively small changes in intrinsic GTPase between wild-type and mutant Ras proteins accounted for profound differences in transforming activity (<ce:cross-ref id=""crosref0265"" refid=""bib71"">Trahey and McCormick, 1987</ce:cross-ref>)."
145,b,146,Intrinsic rates of GTP hydrolysis are five orders of magnitude slower than rates catalyzed by GAPs and therefore do not contribute significantly to steady-state levels of Ras-GTP.
146,b,147,"However, once Ras proteins bind effectors, GAPs can no longer interact, and intrinsic GTPase may become important in determining how long Ras and its effectors remain engaged."
147,b,148,"Indeed, effector binding may well affect intrinsic GTPase activity of Ras as it does for heterotrimeric G proteins."
148,b,149,"If indeed intrinsic GTPase limits signal output, perhaps assays for compounds that stimulate intrinsic GTPase of Ras effector complexes may merit consideration."
149,b,150,"Mattos and colleagues recently showed that the Ras-binding domain of Raf (the RBD) has a profound effect on suppressing intrinsic hydrolysis rates of Ras Q61 mutants, but not wild-type Ras or G12V mutants (<ce:cross-ref id=""crosref0270"" refid=""bib8"">Buhrman et al., 2010</ce:cross-ref>)."
150,b,151,"They propose that suppression of intrinsic GTPase stabilizes Ras-Raf complexes and increases signal output to the MAPK pathway selectively; this accounts for the preference of Q61 mutants over G12 mutants in melanoma, a disease that is clearly Raf-MAPK driven (<ce:cross-ref id=""crosref0275"" refid=""bib8"">Buhrman et al., 2010</ce:cross-ref>)."
151,b,152,"In the 1980s, several groups, including those at Cetus and Hoffmann La Roche, screened for compounds that restore GTP hydrolysis to mutant Ras, in the presence or absence of GAP."
152,b,153,These screens failed to find compounds that increased GTPase rates.
153,b,154,"Furthermore, as structures of Ras proteins emerged, mostly from Wittinghofer’s group, it became clear that codon 12 substitutions presented a steric block to GAP-mediated GTP hydrolysis that could not be overcome by a small molecule."
154,b,155,These studies were mostly based on G12V mutations because these were the most widely used at that time.
155,b,156,Whether the same conclusion can be applied to other mutations such as G12D or G13D remains to be seen because structures of these proteins bound to GAP have not been solved.
156,b,157,"The approach of restoring GTP hydrolysis to mutant proteins received a brief infusion of hope when Scheffzek and colleagues showed that G12V H-Ras could indeed hydrolyze a GTP analog diaminobenzophenone-phosphoroamidate-GTP in which the aromatic amino group mimics the catalytic effects of GAP’s arginine finger (<ce:cross-ref id=""crosref0280"" refid=""bib2"">Ahmadian et al., 1999</ce:cross-ref>)."
157,b,158,A small molecule that provided this local charge might therefore trick mutant Ras into GTP hydrolysis.
158,b,159,"At first sight, the GTD-/GTP-binding site of Ras does not offer any room for such a molecule to bind."
159,b,160,"However, these issues deserve rethinking—perhaps G12D offers more possibilities for this kind of attack than G12V, for example."
160,s,161,Targeting Ras Posttranslational Modification Pathways
161,b,162,"Ras proteins are processed in several steps (reviewed in <ce:cross-ref id=""crosref0285"" refid=""bib24"">Gysin et al., 2011</ce:cross-ref>), including farnesylation, proteolytic cleavage at the C terminus by RCE1, and carboxymethylation by isoprenylcysteine carboxyl methyltransferase (ICMT)."
162,b,163,"K-Ras-4A, H-Ras, and N-Ras are further processed by palmitoylation (<ce:cross-ref id=""crosref0290"" refid=""fig3"">Figure 3</ce:cross-ref>)."
163,b,164,These reactions are not only essential for plasma membrane localization but also for Raf kinase activation.
164,b,165,The failure of farnesyltransferase inhibitors has been well documented.
165,b,166,"By sheer bad luck, the forms of Ras that play the major roles in human cancer, K-Ras and N-Ras, can be geranylgeranylated when farnesyltransferase is inhibited, allowing newly synthesized Ras proteins to be inserted correctly in the membrane and to function normally."
166,b,167,"H-Ras, on the other hand, is not geranylgeranylated, suggesting that tumors driven by mutant H-Ras, such as bladder cancer or thyroid cancer, might be susceptible to farnesyltransferase inhibition."
167,b,168,"Targeting RCE1 or ICMT has also been evaluated, though the consequences of blocking these enzymes are difficult to predict or understand."
168,b,169,"For example, inhibition of either enzyme can actually lead to increased Ras-mediated tumorigenesis (<ce:cross-refs id=""crosrefs0035"" refid=""bib13 bib76"">Court et al., 2013; Wahlstrom et al., 2007</ce:cross-refs>)."
