,doc_sent_idx,sent_type,snt
5776,44,b,"For example, certain DUSPs, induced by ERK-regulated transcription factors, dephosphorylate ERK.<sup><xref ref-type=""bibr"" rid=""bib19"">19</xref></sup>"
5777,45,b,"Downstream signalling from B-Raf, Raf-1 and MEK1 may also be diminished following ERK-mediated phosphorylation.<sup><xref ref-type=""bibr"" rid=""bib20"">20</xref>, <xref ref-type=""bibr"" rid=""bib21"">21</xref></sup>"
5778,46,b,These various mechanisms fine tune the activity of the Ras/MAPK cascade through the creation of a negative-feedback loop.
5779,47,b,"As will be discussed later, this mode of regulation has implications for inhibitors targeting the pathway."
5780,48,s,"<sec-title level=""2"">The Ras/MAPK pathway and MM</sec-title>"
5781,49,b,The genetic changes associated with MM are complex and heterogeneous.
5782,50,b,"Increasing evidence suggests that the disease evolves through a multistep transformation process, involving the gain or loss of whole chromosomes, nonrandom chromosomal translocations involving the IgH locus and point mutations.<sup><xref ref-type=""bibr"" rid=""bib4"">4</xref></sup>"
5783,51,b,"These aberrations, which influence the clinical and pathological features of MM are manifest in variable disease progression and therapeutic outcomes."
5784,52,b,Several of these molecular alterations lead to deregulated activation of the Ras/MAPK pathway.
5785,53,b,"The t(4;14) translocation that juxtaposes the fibroblast growth factor receptor 3 gene and a strong IgH enhancer, resulting in fibroblast growth factor receptor 3 overexpression, stimulates the Ras/MAPK pathway, an outcome typically associated with abnormal cellular proliferation and apoptosis.<sup><xref ref-type=""bibr"" rid=""bib22"">22</xref></sup>"
5786,54,b,"Activating Ras mutations, which have a reported incidence varying between 32–50% in MM, are also thought to deregulate this pathway.<sup><xref ref-type=""bibr"" rid=""bib23"">23</xref>, <xref ref-type=""bibr"" rid=""bib24"">24</xref>, <xref ref-type=""bibr"" rid=""bib25"">25</xref></sup>"
5787,55,b,"K-Ras and N- Ras are the most frequently mutated, with oncogenic H-Ras being a rare phenomenon.<sup><xref ref-type=""bibr"" rid=""bib25"">25</xref></sup>"
5788,56,b,"While certain genetic lesions common to MM (for example, t(14;16), t(4;14) and hyperdiploidy) are also present in the asymptomatic precursor to MM, monoclonal gammopathy of unknown significance,<sup><xref ref-type=""bibr"" rid=""bib26"">26</xref></sup> Ras mutations occur almost exclusively in MM."
5789,57,b,"This indicates that Ras mutations are likely to contribute to the transition of the disease from a premalignant state.<sup><xref ref-type=""bibr"" rid=""bib27"">27</xref></sup>"
5790,58,b,"In the case of the t(4:14) lesion that can activate the Ras/MAPK pathway, this raises the interesting possibility that deregulation of the Ras/MAPK pathway in monoclonal gammopathy of unknown significance precedes constitutive MAPK activation associated with Ras mutations."
5791,59,b,"Patients with MM harbouring oncogenic K-Ras often have a worse clinical outcomes compared with those with N-Ras mutations or wild-type Ras <sup><xref ref-type=""bibr"" rid=""bib24"">24</xref></sup> This link is exemplified by Ras mutations being associated with the evolution of MM from an intermedullary disease to a more advanced extramedullary phenotype.<sup><xref ref-type=""bibr"" rid=""bib28"">28</xref></sup>"
5792,60,b,These observations suggest that aberrant MEK/ERK signalling has an important role in MM disease progression and prognosis.
5793,61,b,"Malignant plasma cell and BMME interactions are thought to contribute to disease progression through the induction of various cytokines and growth factors, a number of which mediate their effects through the Ras/MAPK cascade.<sup><xref ref-type=""bibr"" rid=""bib5"">5</xref>, <xref ref-type=""bibr"" rid=""bib29"">29</xref>, <xref ref-type=""bibr"" rid=""bib30"">30</xref></sup>"
5794,62,b,"In addition to a number of these cytokines being able to activate MEK/ERK via the classical Ras/Raf link, another MAP3K, Tpl2 (Cot, MAP3K8), a known oncogene, has emerged as being important in the cytokine-induced activation of ERK in various cell types, in particular hemopoietic cells.<sup><xref ref-type=""bibr"" rid=""bib31"">31</xref></sup>"
5795,63,b,"The observation that the tumour necrosis factor receptor superfamily cytokines (tumour necrosis factor-α, BAFF), CD40 and RANK ligands, all of which have been implicate in MM, activate MEK/ERK via Tpl2 raises the likelihood that the MEK/ERK arm of this MAPK pathway can be activated through different MAP3K.<sup><xref ref-type=""bibr"" rid=""bib32"">32</xref></sup>"
5796,64,b,"With aberrant MEK/ERK signalling thought to be important in regulating the growth, survival, migration and drug resistance of MM, it will be interesting to determine if specific MAP3Ks differentially control these particular features of the disease."
5797,65,b,Interactions between Bcl-2-like prosurvival and BH3-only pro-apoptotic family members play an integral role in controlling the balance between cell survival and death though the intrinsic apoptosis pathway.
5798,66,b,"Aberrant expression of these apoptotic regulatory molecules in diverse cancers, including MM, contributes to drug resistance."
5799,67,b,"Importantly, the activity of a number of these proteins is modulated by MEK/ERK signalling."
5800,68,b,"For example, ERK-mediated phosphorylation of the antiapoptotic molecule, Mcl-1, decreases its degradation, thereby promoting cell survival.<sup><xref ref-type=""bibr"" rid=""bib33"">33</xref></sup>"
5801,69,b,"With the overexpression of Mcl-1, a common feature of MM associated with greater relapse and shorter survival,<sup><xref ref-type=""bibr"" rid=""bib34"">34</xref></sup> constitutive MEK/ERK activity almost certainly contributes to elevated Mcl-1 expression in those MM with lesions in the Ras/ERK pathway."
5802,70,b,"In contrast, Bim, a proapoptotic Bcl-2 family member that can bind to and neutralize Mcl-1, is targeted by ERK phosphorylation for proteasome-dependent degradation.<sup><xref ref-type=""bibr"" rid=""bib35"">35</xref></sup>"
5803,71,b,"Hence, constitutive ERK signalling is likely to contribute significantly to MM survival by stabilising Mcl-1 and diminishing Bim expression."
5804,72,b,"The activity of other prosurvival (Bcl-2 and Bcl-xL) and proapoptotic (Bad) Bcl-2-like proteins, that are also known to be regulated by ERK signalling, represent additional candidates that may contribute to the enhanced survival of MM cells."
5805,73,s,"<sec-title level=""2"">MEK inhibitors</sec-title>"
5806,74,b,"MEK1 and MEK2 are homologous dual specificity kinases that share ERK as their only known catalytic substrate,<sup><xref ref-type=""bibr"" rid=""bib15"">15</xref></sup> making MEK an appealing target for cancer drug development."
5807,75,b,"Although many kinase inhibitors target the ATP-binding region of an enzyme, MEK contains a hydrophobic allosteric pocket adjacent to the ATP-binding site that is not shared with other kinases.<sup><xref ref-type=""bibr"" rid=""bib36"">36</xref></sup>"
5808,76,b,This offers the opportunity to design highly selective inhibitors of MEK that do not simply target the conserved ATP region of the kinase.
5809,77,b,"In the remainder of the review, we describe some of the various MEK inhibitors currently being investigated and their future role in cancer therapy."
5810,78,s,"<sec-title level=""2"">Prototypic MEK inhibitors</sec-title>"
5811,79,b,"Despite demonstrating <i>in vitro</i> activity, major <i>in vivo</i> limitations were identified for the early first generation MEK inhibitors, PD098059<sup><xref ref-type=""bibr"" rid=""bib37"">37</xref></sup> and U0126.<sup><xref ref-type=""bibr"" rid=""bib38"">38</xref></sup>"
5812,80,b,Although both compounds were deemed unsuitable for clinical consideration they have proven to be invaluable tools for investigating the Ras/MAPK pathway.
5813,81,b,"CI-1040 (PD184352) was the first MEK inhibitor to demonstrate tumour inhibitory activity <i>in vivo</i>.<sup><xref ref-type=""bibr"" rid=""bib39"">39</xref></sup>"
5814,82,b,"Encouraging phase I results in advanced cancer patients, where one patient with pancreatic cancer achieved a partial response (PR) lasting 12 months, prompted a phase II study of CI-1040 in patients with advanced solid tumours.<sup><xref ref-type=""bibr"" rid=""bib40"">40</xref></sup>"
5815,83,b,"However, in contrast to the phase I trial, no PR was observed.<sup><xref ref-type=""bibr"" rid=""bib41"">41</xref></sup>"
5816,84,b,"As a result of its weak antitumour activity, development of CI-1040 was terminated in favour of the more potent PD0325901."
5817,85,b,"Compared with CI-1040, PD0325901 demonstrates significantly improved potency in cell-based assays (100-fold), oral bioavailability and metabolic stability.<sup><xref ref-type=""bibr"" rid=""bib42"">42</xref></sup>"
5818,86,b,Phase I investigation of PD0325901 was conducted in 66 advanced cancer patients.
5819,87,b,"Three of 48 evaluable patients with melanoma achieved PR, while 10 had stable disease (s.d.) for ≥4 months."
5820,88,b,"A subset of these patients developed retinal vein occlusion.<sup><xref ref-type=""bibr"" rid=""bib43"">43</xref></sup>"
5821,89,b,"A phase II study of PD0325901 was assessed in 34 advanced non-small cell lung carcinoma patients, but was eventually terminated owing to lack of objective responses and increasing concerns about ocular function and neurotoxicity at therapeutic doses.<sup><xref ref-type=""bibr"" rid=""bib44"">44</xref></sup>"
5822,90,b,"Investigation of these treatment-related toxicities was conducted in animal models, where PD0325901 was found to cause retinal vein occlusion in rabbits."
5823,91,b,"This adverse effect was attributed to the abrogation of phosphorylated-ERK (p-ERK) within the brain.<sup><xref ref-type=""bibr"" rid=""bib45"">45</xref></sup>"
5824,92,b,"In light of these observations, development of PD0325901 has been suspended."
5825,93,s,"<sec-title level=""2"">MEK inhibitors in development</sec-title>"
5826,94,b,"AZD6244/ARRY-142886 (selumetinib) is a potent MEK inhibitor that has demonstrated significant tumour suppressive activity in a number of preclinical solid tumour models.<sup><xref ref-type=""bibr"" rid=""bib46"">46</xref>, <xref ref-type=""bibr"" rid=""bib47"">47</xref>, <xref ref-type=""bibr"" rid=""bib48"">48</xref></sup>"
5827,95,b,"In cell-based enzymatic assays, AZD6244 inhibited purified MEK at an IC<sub>50</sub> of 14.1±0.79 nM, with no inhibition observed at 10 μℳ against 40 other kinases."
5828,96,b,"Cell lines harbouring oncogenic B-Raf and N-Ras mutations displayed enhanced sensitivity to AZD6244, whereas K-Ras mutated tumours showed variable responsiveness.<sup><xref ref-type=""bibr"" rid=""bib47"">47</xref></sup>"
5829,97,b,"In 2004, a total of 57 patients with advanced cancer were treated in a phase I evaluation of AZD6244."
5830,98,b,"The best clinical response achieved was s.d. ≥ for 5 months in 9 patients, with 2 patients maintaining s.d. for 19 and 22 months."
5831,99,b,"Similar to PD0325901, blurred vision was reported in 7 patients; however, neurotoxicity was not observed.<sup><xref ref-type=""bibr"" rid=""bib49"">49</xref></sup>"
5832,100,b,"Several phase II trials have since examined the effectiveness of AZD6244 in a diverse range of solid tumours.<sup><xref ref-type=""bibr"" rid=""bib50"">50</xref>, <xref ref-type=""bibr"" rid=""bib51"">51</xref>, <xref ref-type=""bibr"" rid=""bib52"">52</xref></sup>"
5833,101,b,"In each of these studies, the efficacy and tolerability of AZD6244 was compared with a conventional chemotherapeutic agent."
5834,102,b,"However, even though some objective responses were observed, AZD6244 failed to demonstrate superior clinical responses over established treatment modalities."
5835,103,b,As a result of these studies there has not been an advocacy for AZD6244 as a monotherapy.
5836,104,b,"AS703026/MSC1935369 demonstrates IC<sub>50</sub> values in the subnanomolar range and potently inhibits tumour growth <i>in vivo.</i><sup><xref ref-type=""bibr"" rid=""bib53"">53</xref></sup> Eighty-five advanced cancer patients were recruited for the phase I trial of AS703026."
5837,105,b,"Visual disturbances were reported in a subset of patients, including some cases of serous macular detachment."
5838,106,b,"Tumour shrinkage was witnessed in four melanoma patients, three of whom (all bearing B-Raf mutations) demonstrated PR.<sup><xref ref-type=""bibr"" rid=""bib54"">54</xref></sup>"
5839,107,b,"XL-518/GDC-0973 is a potent, orally bioavailable inhibitor that blocks MEK1 function with an IC<sub>50</sub><1 nℳ in enzymatic assays measuring ERK phosphorylation."
5840,108,b,Pharmacodynamic studies have demonstrated that a single dose of GDC-0973 inhibits p-ERK in xenograft tumours for up to 48 h.
5841,109,b,"In contrast to PD0325901, p-ERK levels in mouse brain tissue were not significantly suppressed following the administration of GDC-0973, suggesting reduced potential for adverse CNS events.<sup><xref ref-type=""bibr"" rid=""bib55"">55</xref></sup>"
5842,110,b,A phase I study of GDC-0972 in patients with solid tumour was initiated in 2007.
5843,111,b,"Confirmed PR were witnessed in three melanoma patients, two of which harboured B-Raf V600E mutations."
5844,112,b,"Six patients with prolonged s.d. (≥5 months) have been observed to date.<sup><xref ref-type=""bibr"" rid=""bib56"">56</xref></sup>"
5845,113,b,"The MEK inhibitor, BAY869766/RDEA119, specifically inhibits MEK1 (IC<sub>50</sub>=19 nℳ) and MEK2 (IC<sub>50</sub>=47 nℳ) when compared with 205 other kinases."
5846,114,b,"The antitumour effect of BAY8697655 has been established in mouse xenograft models, with potent growth inhibition observed during drug treatment.<sup><xref ref-type=""bibr"" rid=""bib57"">57</xref></sup>"
5847,115,b,"Early data from the BAY8679655 phase I trial demonstrates good drug tolerability, with rash being the most prevalent treatment-related adverse effect."
5848,116,b,"Among the 69 advanced cancer patients enroled in the trial, 10 achieved s.d. with a mean duration of 10 months."
5849,117,b,"Phase II development of BAY867966 is currently being pursued in light of these findings.<sup><xref ref-type=""bibr"" rid=""bib58"">58</xref></sup>"
5850,118,b,GSK1120212 is a structurally novel allosteric MEK inhibitor with an <i>in vitro</i> IC<sub>50</sub> of 0.4±00.1 nℳ for MEK1 activation by B-Raf and 10±2 nℳ for p-MEK1 activity.
5851,119,b,"In cell lines harbouring activating Ras or B-Raf mutations, GSK1120212 inhibited cell proliferation at IC<sub>50</sub> values <50 nℳ, but demonstrated decreased activity against those cells with wild-type Ras or wild-type-B-Raf.<sup><xref ref-type=""bibr"" rid=""bib59"">59</xref></sup>"
5852,120,b,"These results are consistent with other MEK inhibitors, where cells with constitutively active Ras/MAPK signalling demonstrate a reliance on these oncogenic pathways, thereby making them hypersensitive to MEK inhibition."
5853,121,b,"In melanoma xenografted mouse models, GSK1120212 administered orally once daily demonstrated an effective t<sub>1/2</sub> of 36 h with sustained suppression of p-ERK for >24 h.<sup><xref ref-type=""bibr"" rid=""bib60"">60</xref></sup>"
5854,122,b,"Notably, inhibition of p-ERK was not observed within brain samples."
5855,123,b,"Phase I results of this compound have recently been presented by Gordon <i>et al.</i><sup><xref ref-type=""bibr"" rid=""bib61"">61</xref></sup> For 22 patients with B-Raf mutant melanoma, 1 CR and 9 PR were observed."
5856,124,b,"For 22 patients with pancreatic cancer, 1 PR and 9 s.d. were reported."
5857,125,b,Early data from a phase I/II trial examining GSK1120212 in patients with relapsed/refractory myeloid malignancies harbouring Ras mutations has also recently been reported.
5858,126,b,Patients were prospectively screened for K- and N-Ras mutations before receiving daily treatment with GSK1120212.
5859,127,b,"Encouraging signs of clinical activity with manageable adverse effects have been observed.<sup><xref ref-type=""bibr"" rid=""bib62"">62</xref></sup>"
5860,128,s,"<sec-title level=""2"">Enhancing effectiveness with combination therapies</sec-title>"
5861,129,b,"Despite improvements in clinical potency and pharmacokinetics, MEK inhibitors have generally shown limited effectiveness as monotherapeutic agents."
5862,130,b,Several reasons may account for this observation.
5863,131,b,"Abrogation of Ras/MAPK signalling appears to be mainly cytostatic, and suggests that an additional therapeutic modality is required to maximise the antitumour effectiveness of MEK inhibitors."
5864,132,b,"In hepatocellular carcinoma xenograft models, AZD6244 in conjunction with doxorubicin demonstrated enhanced growth suppression (76%±7), compared with AZD6244 (52±15%) and doxorubicin (12±9%) alone."
5865,133,b,"This synergy was associated with increased apoptosis.<sup><xref ref-type=""bibr"" rid=""bib63"">63</xref></sup>"
5866,134,b,"Similar effects have been observed with AZD6244 and docetaxel in malignant melanoma,<sup><xref ref-type=""bibr"" rid=""bib64"">64</xref></sup> and AZD6244 and cytarabine in acute myelogenous leukaemia.<sup><xref ref-type=""bibr"" rid=""bib65"">65</xref></sup>"
5867,135,b,"The mechanism by which these agents cooperate is not entirely clear, but the available evidence suggests that many of these drugs can activate the Ras/MAPK pathway through diverse processes, thereby increasing the effectiveness of MEK inhibitors.<sup><xref ref-type=""bibr"" rid=""bib66"">66</xref></sup>"
5868,136,b,"However, the inhibitory effects of MEK on cell cycle progression may potentially reduce the effectiveness of many standard chemotherapeutic agents in combination therapy, due to the reliance of these agents on killing malignant cells that are rapidly dividing."
5869,137,b,"Therefore, drug scheduling may have a critical role in the optimal utilisation of MEK inhibitors when combined with traditional chemotherapeutic drugs."
5870,138,b,"In this regard, Yu <i>et al.</i><sup><xref ref-type=""bibr"" rid=""bib67"">67</xref></sup> have demonstrated that incubating leukaemic cells with paclitaxel before PD98059 exposure significantly increased cell death."
5871,139,b,"In contrast, pretreatment with the MEK inhibitor reduced the susceptibility of cells to paclitaxel-induced apoptosis."
5872,140,b,Activating mutations within the Ras/MAPK network also contribute to the mechanisms of resistance to MEK inhibitors.
5873,141,b,"A number of studies have demonstrated that oncogenic amplification of K-Ras and B-Raf confers decreased susceptibility to AZD6244.<sup><xref ref-type=""bibr"" rid=""bib68"">68</xref>, <xref ref-type=""bibr"" rid=""bib69"">69</xref></sup>"
5874,142,b,"Point mutations within MEK1 may also significantly attenuate the ability of MEK inhibitors to block ERK signalling in B-Raf V600E mutated tumours.<sup><xref ref-type=""bibr"" rid=""bib70"">70</xref></sup>"
5875,143,b,These oncogenic events result in constitutive ERK pathway activation.
5876,144,b,"In the absence of oncogenic Ras and Raf mutations, other oncogenic events that engage the Ras/MAPK pathway are also likely to stimulate normal feedback mechanisms that may increase the activity of various intermediaries in the Ras/MAPK signalling module, thereby promoting the ongoing activation of ERK kinase signalling.<sup><xref ref-type=""bibr"" rid=""bib71"">71</xref></sup>"
5877,145,b,"For either scenario, the activity of ERK and its target substrates may be maintained at levels that are sufficient to drive key cellular functions even in the presence of a MEK inhibitor."
5878,146,b,These observations suggest that targeting multiple nodes within the Ras/MAPK network may be a more efficacious clinical strategy than single target therapy.
5879,147,b,The contribution of multiple signalling networks to tumorigenesis also accounts for the limited responses seen with MEK inhibitors alone.
5880,148,b,"For example, the phosphatidylinositol 3-kinase (PI3K/Akt/mTOR) and MAPK pathways share Ras as a common upstream effector.<sup><xref ref-type=""bibr"" rid=""bib72"">72</xref></sup>"
5881,149,b,"Consequently, activation of Ras, despite the downregulation of ERK activity by MKPs and SPRYs, could lead to compensatory signalling through this parallel network."
5882,150,b,"Alternatively, oncogenic mutations within the PI3K/Akt axis may enhance MEK/ERK signal transduction."
5883,151,b,"Indeed, dysregulation of the PI3K/Akt pathway has been shown to correlate with the decreased sensitivity to MEK inhibition.<sup><xref ref-type=""bibr"" rid=""bib73"">73</xref></sup>"
5884,152,b,Predictably targeting both pathways simultaneously has proven effective in several studies.
5885,153,b,"In AZD6244-resistant gastric cancer cell lines, activation of Akt through the EGFR/PI3K/Akt pathway was still observed following MEK inhibition."
5886,154,b,"Blockade of this pathway using the EGFR inhibitor, gefitinib, synergistically enhanced tumour apoptosis <i>in vitro</i> and <i>in vivo</i>.<sup><xref ref-type=""bibr"" rid=""bib74"">74</xref></sup>"
5887,155,b,"Treatment of mutant murine lung cancers with the dual PI3K/mTOR inhibitor, NVP-BEZ235 and AZD6244 produced similar results.<sup><xref ref-type=""bibr"" rid=""bib75"">75</xref></sup>"
5888,156,b,"Recently, preliminary results from a phase I trial evaluating the combined activity of GDC-0973/XL-518 and the Akt inhibitor, GDC-0941, found that in a cohort of 27 advanced solid tumour patients, three patients achieved prolonged s.d. ≥6 months when treated with both agents.<sup><xref ref-type=""bibr"" rid=""bib76"">76</xref></sup>"
5889,157,b,"Promising clinical activity has also been observed in the phase I trial of GSK1120212 in conjunction with the Akt inhibitor, GSK2141795.<sup><xref ref-type=""bibr"" rid=""bib77"">77</xref></sup>"
5890,158,b,The number of preclinical and clinical studies investigating dual Ras/MAPK and PI3K/Akt inhibition indicates a growing trend to using these combinations to maximise antitumour response.
5891,159,b,Aberrant signalling through additional kinase pathways may also contribute to MEK inhibitor resistance.
5892,160,b,"For example, although non-small cell lung carcinomas carry both K-Ras and PTEN mutations, resistance of these cell lines to AZD6244 coincides with activation of the Janus kinase/signal transducer and activator of transcription pathway (JAK/STAT) following MEK inhibition.<sup><xref ref-type=""bibr"" rid=""bib78"">78</xref></sup>"
5893,161,b,AZD6244 combined with STAT3 inhibition synergistically induced apoptosis in these cells.
5894,162,b,"This effect can be explained by STAT3 suppressing the proapoptotic protein Bim through upregulation of miRNA-17, which antagonises the Bim expression induced by AZD6244.<sup><xref ref-type=""bibr"" rid=""bib79"">79</xref></sup>"
5895,163,b,"Collectively, these results provide a rationale for combining inhibitors of the JAK/STAT pathway and MEK inhibitors to reduce the potential impact of drug resistance."
5896,164,b,Information about the use of MEK inhibitors and other kinase pathway inhibitors is unknown.
5897,165,s,"<sec-title level=""2"">The role of MEK inhibitors in MM</sec-title>"
5898,166,b,The advent of novel anti-MM agents has improved the management and prognosis of MM.
5899,167,b,"With the immunomodulatory drugs, thalidomide and lenalidomide, and the proteasome inhibitor, bortezomib, able to abrogate the survival advantage created by the BMME, current research has focussed on combining these novel therapies to improve patient outcomes.<sup><xref ref-type=""bibr"" rid=""bib80"">80</xref></sup>"
5900,168,b,"To date, promising results have been obtained in several clinical trials.<sup><xref ref-type=""bibr"" rid=""bib81"">81</xref>, <xref ref-type=""bibr"" rid=""bib82"">82</xref></sup>"
5901,169,b,"However, despite the clinical success of thalidomide, lenalidomide and bortezomib, a subset of patients do not initially respond to or ultimately become refractory to these agents.<sup><xref ref-type=""bibr"" rid=""bib83"">83</xref></sup>"
5902,170,b,This emphasises the need for innovative anti-MM therapies.
5903,171,b,"The impact of AZD6244 has been investigated in MM cells within the BMME.<sup><xref ref-type=""bibr"" rid=""bib84"">84</xref></sup>"
5904,172,b,This compound specifically abrogated constitutive and cytokine-stimulated ERK phosphorylation and induced cytotoxicity in a panel of human myeloma cell lines (HMCL).
5905,173,b,Responses to AZD6244 were also witnessed in tumour cells derived from MM patients with advanced disease.
5906,174,b,"These results suggest that AZD6244 is effective at advanced stages of disease, where MM cells are less reliant on the growth factors produced by the BMME."
